distance,calories
7.68,613
24.65,1001
27.64,1123
18.03,732
8.83,703
9.78,729
27.39,1113
18.44,749
28.13,1143
11.31,844
26.6,1302
16.78,822
11.38,845
7.05,580
17.48,906
18.55,907
26.83,1313
42.27,2071
8.63,685
18.04,883
17.05,902
7.95,633
51.15,2710
18.37,973
16.81,890
15.4,816
24.14,1279
17.17,907
42.21,2237
16.87,894
25.3,1282
42.8,2268
16.33,865
16.37,946
9.02,680
14.95,864
16.3,924
29.73,1718
16.58,958
17.37,1004
15.99,924
17.97,1038
23.33,1348
16.6,953
17.6,1016
16.69,965
33.6,1943
22.02,1273
18.1,1046
15.37,888
15,880
16.61,960
15.82,914
17.7,1022
7.37,600
31.79,1838
16.51,954
16,900
15.91,919
39.26,2271
5.8,463
17.5,1011
15.77,911
17.45,1008
15.74,910
17.37,1003
15.98,924
16.16,934
17.66,1020
22.84,1320
17.4,1006
18.84,1089
16.03,927
25.09,1450
32.26,1865
16.33,944
15.72,908
15.84,915
17.44,1008
20.6,1191
26.94,1558
15.97,923
17.24,996
18.92,1093
16.45,951
37.04,2141
15.88,918
16.1,931
16.53,955
16.78,970
33.48,1936
17.6,1017
15.6,901
25.84,1493
16.73,967
17.12,989
15.46,893
16.07,928
16.25,939
22.28,1288
25.72,1487
15.98,924
24.19,1398
16.58,958
16.78,967
17.53,1013
18.92,1093
27.34,1580
