height ,minimum,maximum 
150,41.6,56.3
151,42.2,57
152,42.8,57.8
153,43.3,58.5
154,43.9,59.3
155,44.5,60.1
156,45,60.8
157,45.6,61.6
158,46.2,62.4
159,46.8,63.2
160,47.4,64
161,48,64.8
162,48.6,65.6
163,49.2,66.4
164,49.8,67.2
165,50.4,68.1
166,51,68.9
167,51.6,69.7
168,52.2,70.6
169,52.9,71.4
170,53.5,72.3
171,54.1,73.1
172,54.8,74
173,55.4,74.8
174,56,75.7
175,56.7,76.6
176,57.3,77.4
177,58,78.3
178,58.6,79.2
179,59.3,80.1
180,60,81
181,60.6,81.9
182,61.3,82.8
183,62,83.7
184,62.7,84.6
185,63.4,85.6
186,64,86.5
187,64.7,87.4
188,65.4,88.4
189,66.1,89.3
190,66.8,90.3
191,67.5,91.2
192,68.2,92.2
193,68.9,93.1
194,69.7,94.1
195,70.4,95.1
196,71.1,96
197,71.8,97
198,72.6,98
199,73.3,99
